Species,Complete_BUSCOs,Single_BUSCOs,Duplicated_BUSCOs,Fragmented_BUSCOs,Missing_BUSCOs,Assembler
Acanthogammarus_godlewskii,	49.9,40.9,9,20.5,29.6,Trinity
Asprogammarus_rhodophthalmus,	62.4,42.9,19.5,17.2,20.4,Trinity
Baikalogammarus_pullus,	56.7,42.8,13.9,16.2,27.1,Trinity
Boeckaxelia_carpenterii,	59.7,44.9,14.8,16.5,23.8,Trinity
Boeckaxelia_potanini,	47.2,41,6.2,17.4,35.4,Trinity
Brachyuropus_grewingkii,	61.1,47.4,13.7,16.3,22.6,Trinity
Brandtia_latissima,	56.2,48.9,7.3,18.8,25,Trinity
Caprella_sp,	79.8,46.2,33.6,15.8,4.4,Trinity
Carinurus_bicarinatus,	52.1,40.8,11.3,16.5,31.4,Trinity
Cornugammarus_maximus,	53.5,44.7,8.8,19.9,26.6,Trinity
Crypturopus_inflatus,	34.6,29.5,5.1,24.1,41.3,Trinity
Dorogostaiskia_parasitica,	44.4,35.7,8.7,18.7,36.9,Trinity
Echinogammarus_berilloni,	95.4,43.1,52.3,2.9,1.7,Trinity
Echiuropus_macronychus,	55.0,41.7,13.3,14.3,30.7,Trinity
Eogammarus_possjeticus,	92.9,45.2,47.7,5,2.1,Trinity
Eucarinogammarus_wagii,	53.1,37.4,15.7,24,22.9,Trinity
Eulimnogammarus_cruentus,	64.2,52.1,12.1,17.4,18.4,Trinity
Eulimnogammarus_cyaneus,	89.5,77.8,11.7,5.9,4.6,Trinity
Eulimnogammarus_czerskii,	65.3,49.6,15.7,15.2,19.5,Trinity
Eulimnogammarus_marituji,	63.6,47.9,15.7,15.3,21.1,Trinity
Eulimnogammarus_messerschmidtii,	57.0,41.1,15.9,14.1,28.9,Trinity
Eulimnogammarus_similis,	66.1,50.2,15.9,15.4,18.5,Trinity
Eulimnogammarus_sp._gam16.4,	32.8,28.7,4.1,17.2,50,Trinity
Eulimnogammarus_testaceus,	67.3,48.7,18.6,13.7,19,Trinity
Eulimnogammarus_ussolzewii,	58.6,45.3,13.3,17,24.4,Trinity
Eulimnogammarus_verrucosus,	71.0,50.7,20.3,12.9,16.1,Trinity
Eulimnogammarus_violaceus,	57.5,43.3,14.2,18.9,23.6,Trinity
Eulimnogammarus_viridulus,	66.7,50.6,16.1,15.7,17.6,Trinity
Eulimnogammarus_vittatus,	57.0,45,12,15.8,27.2,Trinity
Gammarus_chevreuxi,	87.1,59.9,27.2,2.8,10.1,Trinity
Gammarus_fossarum,	93.3,43.2,50.1,4.9,1.8,Trinity
Gammarus_lacustris,	90.0,66.3,23.7,6.4,3.6,Trinity
Gammarus_minus,	96.2,50.9,45.3,1.5,2.3,Trinity
Gammarus_pisinnus,	76.9,39.2,37.7,15.9,7.2,Trinity
Gammarus_pulex,	92.7,42,50.7,4.7,2.6,Trinity
Gammarus_wautieri,	91.4,47.8,43.6,5.4,3.2,Trinity
Garjajewia_dershawini,	51.9,44.8,7.1,18.1,30,Trinity
Gmelinoides_fasciatus,	67.0,48.6,18.4,15,18,Trinity
Heterogammarus_sophianosii,	73.4,57.1,16.3,11.1,15.5,Trinity
Hirondellea_gigas,	91.2,89.3,1.9,4,4.8,Trinity
