	Xm	Ym	Species	Light	Where	Photo
1	30.335	0.547	E. cyaneus	Y	R	P6163060
2	17.163	0.775	E. cyaneus	Y	R	P6163060
3	3.517	1.069	E. cyaneus	Y	R	P6163060
4	6.308	1.134	E. cyaneus	Y	R	P6163060
5	23.806	1.755	E. cyaneus	Y	R	P6163060
6	33.909	2.799	E. cyaneus	Y	R	P6163060
7	5.558	3.011	E. cyaneus	Y	R	P6163060
8	32.326	3.648	E. cyaneus	Y	R	P6163060
9	38.757	4.578	E. cyaneus	Y	R	P6163060
10	4.578	4.774	E. cyaneus	Y	R	P6163060
11	3.713	5.443	E. cyaneus	Y	R	P6163060
12	4.170	5.884	E. cyaneus	Y	R	P6163060
13	10.650	6.015	E. cyaneus	Y	R	P6163060
14	13.915	6.341	E. cyaneus	Y	R	P6163060
15	6.537	6.390	E. cyaneus	Y	R	P6163060
16	7.826	6.896	E. cyaneus	Y	R	P6163060
17	14.910	7.353	E. cyaneus	Y	R	P6163060
18	17.244	7.549	E. cyaneus	Y	R	P6163060
19	13.670	7.859	E. cyaneus	Y	R	P6163060
20	7.696	7.990	E. cyaneus	Y	R	P6163060
1	16.085	0.726	E. cyaneus	B	R	P6163061
2	35.166	0.792	E. cyaneus	B	R	P6163061
3	5.656	1.689	E. cyaneus	B	R	P6163061
4	0.661	1.983	E. cyaneus	B	R	P6163061
5	4.317	2.554	E. cyaneus	B	R	P6163061
6	4.578	3.599	E. cyaneus	B	R	P6163061
7	57.184	3.795	E. cyaneus	B	R	P6163061
8	5.803	4.023	E. cyaneus	B	R	P6163061
9	57.560	4.138	E. cyaneus	B	R	P6163061
10	12.152	5.052	E. cyaneus	B	R	P6163061
11	6.439	5.150	E. cyaneus	B	R	P6163061
12	51.945	5.362	E. cyaneus	B	R	P6163061
13	9.948	5.884	E. cyaneus	B	R	P6163061
14	2.750	6.243	E. cyaneus	B	R	P6163061
15	3.779	6.912	E. cyaneus	B	R	P6163061
16	6.831	7.451	E. cyaneus	B	R	P6163061
17	16.918	7.565	E. cyaneus	B	R	P6163061
18	4.236	7.761	E. cyaneus	B	R	P6163061
19	36.766	7.810	E. cyaneus	B	R	P6163061
20	6.096	8.088	E. cyaneus	B	R	P6163061
1	8.392	0.336	E. cyaneus	R	R	P6163063
2	47.350	0.418	E. cyaneus	R	R	P6163063
3	6.575	1.138	E. cyaneus	R	R	P6163063
5	4.430	2.203	E. cyaneus	R	R	P6163063
6	18.218	2.203	E. cyaneus	R	R	P6163063
7	22.197	2.972	E. cyaneus	R	R	P6163063
8	5.314	3.644	E. cyaneus	R	R	P6163063
9	30.172	4.118	E. cyaneus	R	R	P6163063
10	43.960	4.544	E. cyaneus	R	R	P6163063
11	6.264	5.674	E. cyaneus	R	R	P6163063
12	2.366	5.985	E. cyaneus	R	R	P6163063
13	21.902	6.182	E. cyaneus	R	R	P6163063
14	20.003	6.706	E. cyaneus	R	R	P6163063
15	51.116	7.082	E. cyaneus	R	R	P6163063
16	19.970	7.590	E. cyaneus	R	R	P6163063
17	51.133	7.999	E. cyaneus	R	R	P6163063
18	8.835	8.130	E. cyaneus	R	R	P6163063
19	19.904	8.245	E. cyaneus	R	R	P6163063
20	47.612	8.278	E. cyaneus	R	R	P6163063
21	36.984	8.360	E. cyaneus	R	R	P6163063
1	4.299	0.680	E. cyaneus	G	R	P6163064
2	5.183	0.712	E. cyaneus	G	R	P6163064
3	8.835	0.892	E. cyaneus	G	R	P6163064
4	9.375	0.909	E. cyaneus	G	R	P6163064
5	5.314	1.138	E. cyaneus	G	R	P6163064
6	3.070	2.104	E. cyaneus	G	R	P6163064
7	5.085	2.645	E. cyaneus	G	R	P6163064
8	56.684	3.201	E. cyaneus	G	R	P6163064
9	5.052	3.332	E. cyaneus	G	R	P6163064
10	2.939	5.216	E. cyaneus	G	R	P6163064
11	22.001	5.822	E. cyaneus	G	R	P6163064
12	6.820	6.133	E. cyaneus	G	R	P6163064
13	8.605	6.395	E. cyaneus	G	R	P6163064
14	3.382	6.624	E. cyaneus	G	R	P6163064
15	10.636	7.361	E. cyaneus	G	R	P6163064
16	15.827	7.656	E. cyaneus	G	R	P6163064
17	6.296	7.737	E. cyaneus	G	R	P6163064
18	51.853	7.770	E. cyaneus	G	R	P6163064
19	9.178	7.950	E. cyaneus	G	R	P6163064
20	23.867	8.081	E. cyaneus	G	R	P6163064
1	18.325	0.449	E. cyaneus	K	K	P6163065
2	17.034	0.956	E. cyaneus	K	K	P6163065
3	55.433	1.446	E. cyaneus	K	K	P6163065
4	13.766	1.560	E. cyaneus	K	K	P6163065
5	4.028	1.691	E. cyaneus	K	K	P6163065
6	29.371	1.920	E. cyaneus	K	K	P6163065
7	5.090	2.770	E. cyaneus	K	K	P6163065
8	56.577	3.276	E. cyaneus	K	K	P6163065
9	4.109	3.292	E. cyaneus	K	K	P6163065
10	6.479	3.864	E. cyaneus	K	K	P6163065
11	49.681	4.436	E. cyaneus	K	K	P6163065
12	54.502	4.567	E. cyaneus	K	K	P6163065
13	6.724	4.910	E. cyaneus	K	K	P6163065
14	56.070	4.926	E. cyaneus	K	K	P6163065
15	31.462	4.943	E. cyaneus	K	K	P6163065
16	49.698	5.204	E. cyaneus	K	K	P6163065
17	48.423	5.596	E. cyaneus	K	K	P6163065
18	35.449	6.871	E. cyaneus	K	K	P6163065
19	30.466	7.410	E. cyaneus	K	K	P6163065
20	18.292	7.966	E. cyaneus	K	K	P6163065
1	55.863	0.824	E. cyaneus	G	L	P6163066
2	2.994	0.906	E. cyaneus	G	L	P6163066
3	40.525	1.575	E. cyaneus	G	L	P6163066
4	6.160	1.803	E. cyaneus	G	L	P6163066
5	58.034	1.950	E. cyaneus	G	L	P6163066
6	53.171	1.999	E. cyaneus	G	L	P6163066
7	55.619	2.391	E. cyaneus	G	L	P6163066
8	48.308	2.978	E. cyaneus	G	L	P6163066
9	56.924	3.353	E. cyaneus	G	L	P6163066
10	51.735	3.810	E. cyaneus	G	L	P6163066
11	55.798	3.875	E. cyaneus	G	L	P6163066
12	55.863	4.528	E. cyaneus	G	L	P6163066
13	56.500	5.475	E. cyaneus	G	L	P6163066
14	56.337	5.915	E. cyaneus	G	L	P6163066
15	49.761	6.225	E. cyaneus	G	L	P6163066
16	55.178	6.290	E. cyaneus	G	L	P6163066
17	56.777	6.617	E. cyaneus	G	L	P6163066
18	52.061	7.465	E. cyaneus	G	L	P6163066
19	42.875	7.775	E. cyaneus	G	L	P6163066
20	14.286	7.955	E. cyaneus	G	L	P6163066
1	54.520	1.181	E. cyaneus	Y	L	P6163067
2	47.239	1.246	E. cyaneus	Y	L	P6163067
3	47.386	1.832	E. cyaneus	Y	L	P6163067
4	50.985	2.174	E. cyaneus	Y	L	P6163067
5	55.301	2.207	E. cyaneus	Y	L	P6163067
6	57.956	2.712	E. cyaneus	Y	L	P6163067
7	55.643	3.331	E. cyaneus	Y	L	P6163067
8	45.350	3.575	E. cyaneus	Y	L	P6163067
9	7.858	3.689	E. cyaneus	Y	L	P6163067
10	57.272	3.705	E. cyaneus	Y	L	P6163067
11	51.360	3.738	E. cyaneus	Y	L	P6163067
12	51.490	4.064	E. cyaneus	Y	L	P6163067
13	55.822	4.178	E. cyaneus	Y	L	P6163067
14	45.562	4.406	E. cyaneus	Y	L	P6163067
17	53.249	5.171	E. cyaneus	Y	L	P6163067
18	54.536	5.187	E. cyaneus	Y	L	P6163067
19	54.015	6.213	E. cyaneus	Y	L	P6163067
20	43.982	6.474	E. cyaneus	Y	L	P6163067
21	38.086	6.946	E. cyaneus	Y	L	P6163067
22	5.676	8.217	E. cyaneus	Y	L	P6163067
1	50.274	0.530	E. cyaneus	B	L	P6163068
2	45.758	0.628	E. cyaneus	B	L	P6163068
3	53.389	0.660	E. cyaneus	B	L	P6163068
4	50.062	0.840	E. cyaneus	B	L	P6163068
5	54.791	2.454	E. cyaneus	B	L	P6163068
6	53.242	2.584	E. cyaneus	B	L	P6163068
7	56.030	2.780	E. cyaneus	B	L	P6163068
8	35.633	2.976	E. cyaneus	B	L	P6163068
9	53.389	3.122	E. cyaneus	B	L	P6163068
10	52.166	3.285	E. cyaneus	B	L	P6163068
11	54.106	3.334	E. cyaneus	B	L	P6163068
12	57.253	3.611	E. cyaneus	B	L	P6163068
13	54.008	4.133	E. cyaneus	B	L	P6163068
14	54.155	4.573	E. cyaneus	B	L	P6163068
15	54.693	4.736	E. cyaneus	B	L	P6163068
16	53.633	5.095	E. cyaneus	B	L	P6163068
17	55.410	5.274	E. cyaneus	B	L	P6163068
18	5.519	5.649	E. cyaneus	B	L	P6163068
19	46.753	7.361	E. cyaneus	B	L	P6163068
20	54.905	7.508	E. cyaneus	B	L	P6163068
1	49.688	0.367	E. cyaneus	R	L	P6163069
2	48.938	0.399	E. cyaneus	R	L	P6163069
3	54.970	1.410	E. cyaneus	R	L	P6163069
4	27.139	1.459	E. cyaneus	R	L	P6163069
5	24.986	2.193	E. cyaneus	R	L	P6163069
6	55.492	2.519	E. cyaneus	R	L	P6163069
7	56.845	2.568	E. cyaneus	R	L	P6163069
8	8.812	2.910	E. cyaneus	R	L	P6163069
9	53.356	3.302	E. cyaneus	R	L	P6163069
10	53.976	3.660	E. cyaneus	R	L	P6163069
11	13.736	3.758	E. cyaneus	R	L	P6163069
12	57.253	3.823	E. cyaneus	R	L	P6163069
13	52.182	4.280	E. cyaneus	R	L	P6163069
14	30.595	4.834	E. cyaneus	R	L	P6163069
15	52.052	5.927	E. cyaneus	R	L	P6163069
16	37.997	6.139	E. cyaneus	R	L	P6163069
17	55.019	6.318	E. cyaneus	R	L	P6163069
18	52.867	6.334	E. cyaneus	R	L	P6163069
19	28.476	6.986	E. cyaneus	R	L	P6163069
20	52.720	8.226	E. cyaneus	R	L	P6163069
1	25.681	0.919	E. cyaneus	R	R	P6163070
2	17.156	1.342	E. cyaneus	R	R	P6163070
3	6.874	1.456	E. cyaneus	R	R	P6163070
4	5.898	1.537	E. cyaneus	R	R	P6163070
5	7.752	1.781	E. cyaneus	R	R	P6163070
6	5.377	1.879	E. cyaneus	R	R	P6163070
7	6.809	2.823	E. cyaneus	R	R	P6163070
8	56.657	3.799	E. cyaneus	R	R	P6163070
9	7.720	4.075	E. cyaneus	R	R	P6163070
10	17.546	4.336	E. cyaneus	R	R	P6163070
11	10.632	4.629	E. cyaneus	R	R	P6163070
12	6.060	4.742	E. cyaneus	R	R	P6163070
13	6.255	5.068	E. cyaneus	R	R	P6163070
14	10.420	5.279	E. cyaneus	R	R	P6163070
15	7.297	5.475	E. cyaneus	R	R	P6163070
16	20.735	5.670	E. cyaneus	R	R	P6163070
17	6.255	6.076	E. cyaneus	R	R	P6163070
18	3.392	6.857	E. cyaneus	R	R	P6163070
19	51.125	6.922	E. cyaneus	R	R	P6163070
20	8.110	8.419	E. cyaneus	R	R	P6163070
1	30.515	0.564	E. cyaneus	Y	R	P6163071
2	5.619	0.695	E. cyaneus	Y	R	P6163071
