Species,Complete_BUSCOs,Single_BUSCOs,Duplicated_BUSCOs,Fragmented_BUSCOs,Missing_BUSCOs,Assembler
Acanthogammarus_godlewskii,60.9,54.5,6.4,20.7,18.4,rnaSPAdes
Asprogammarus_rhodophthalmus,78.3,56.3,22,13.1,8.6,rnaSPAdes
Baikalogammarus_pullus,68.4,39.1,29.3,15.4,16.2,rnaSPAdes
Boeckaxelia_carpenterii,70.8,60.2,10.6,15.1,14.1,rnaSPAdes
Boeckaxelia_potanini,58.4,54.4,4,17.9,23.7,rnaSPAdes
Brachyuropus_grewingkii,75.4,63.5,11.9,14.4,10.2,rnaSPAdes
Brandtia_latissima,54.1,50.7,3.4,23.4,22.5,rnaSPAdes
Caprella_sp,78.7,64.1,14.6,15.8,5.5,rnaSPAdes
Carinurus_bicarinatus,63.7,54.2,9.5,16.4,19.9,rnaSPAdes
Cornugammarus_maximus,61.3,55.6,5.7,20.7,18,rnaSPAdes
Crypturopus_inflatus,43.7,39.8,3.9,24,32.3,rnaSPAdes
Dorogostaiskia_parasitica,57.1,51.9,5.2,17.1,25.8,rnaSPAdes
Echinogammarus_berilloni,91.7,75.7,16,5.5,2.8,rnaSPAdes
Echiuropus_macronychus,65.5,44.2,21.3,15.2,19.3,rnaSPAdes
Eogammarus_possjeticus,87.1,53.5,33.6,8.6,4.3,rnaSPAdes
Eucarinogammarus_wagii,69,41.3,27.7,17.5,13.5,rnaSPAdes
Eulimnogammarus_cruentus,78,68.7,9.3,15.1,6.9,rnaSPAdes
Eulimnogammarus_cyaneus,75.2,59.4,15.8,12.8,12,rnaSPAdes
Eulimnogammarus_czerskii,78.2,67.5,10.7,12.5,9.3,rnaSPAdes
Eulimnogammarus_marituji,72.3,61.6,10.7,13.7,14,rnaSPAdes
Eulimnogammarus_messerschmidtii,67.5,52.5,15,12.8,19.7,rnaSPAdes
Eulimnogammarus_similis,82.2,70.1,12.1,11,6.8,rnaSPAdes
Eulimnogammarus_sp._gam16.4,41.7,38,3.7,20.2,38.1,rnaSPAdes
Eulimnogammarus_testaceus,79.8,68,11.8,12.7,7.5,rnaSPAdes
Eulimnogammarus_ussolzewii,73.3,63.9,9.4,14.2,12.5,rnaSPAdes
Eulimnogammarus_verrucosus,85.4,67.4,18,9.6,5,rnaSPAdes
Eulimnogammarus_violaceus,70.7,61.8,8.9,17.4,11.9,rnaSPAdes
Eulimnogammarus_viridulus,80,66.6,13.4,13.4,6.6,rnaSPAdes
Eulimnogammarus_vittatus,70,57.8,12.2,14.1,15.9,rnaSPAdes
Gammarus_chevreuxi,79.7,63.4,16.3,14,6.3,rnaSPAdes
Gammarus_fossarum,95.4,50.2,45.2,3,1.6,rnaSPAdes
Gammarus_lacustris,56.1,51.2,4.9,18.4,25.5,rnaSPAdes
Gammarus_minus,95.8,82,13.8,1.9,2.3,rnaSPAdes
Gammarus_pisinnus,71.2,65.9,5.3,21.3,7.5,rnaSPAdes
Gammarus_pulex,92.5,66.9,25.6,5.5,2,rnaSPAdes
Gammarus_wautieri,92.3,65.9,26.4,5,2.7,rnaSPAdes
Garjajewia_dershawini,64,58.3,5.7,16.4,19.6,rnaSPAdes
Gmelinoides_fasciatus,79.8,53.9,25.9,12.2,8,rnaSPAdes
Heterogammarus_sophianosii,84.8,71.1,13.7,8.9,6.3,rnaSPAdes
Hirondellea_gigas,64.7,54.1,10.6,17.8,17.5,rnaSPAdes
Homalogammarus_brandtii,55.8,50.8,5,16.4,27.8,rnaSPAdes
Hyalella_azteca,86.9,55.4,31.5,10.1,3,rnaSPAdes
Hyalellopsis_carinata,75,62.1,12.9,14.8,10.2,rnaSPAdes
Hyalellopsis_costata,69.4,55.8,13.6,17.3,13.3,rnaSPAdes
Hyalellopsis_grisea,75.8,66.4,9.4,13.3,10.9,rnaSPAdes
Hyalellopsis_setosa,67.8,61.6,6.2,17.9,14.3,rnaSPAdes
Hyalellopsis_stebbingi,73.7,60.9,12.8,13.2,13.1,rnaSPAdes
Linevichella_vortex,85.4,40.3,45.1,9,5.6,rnaSPAdes
Macrohectopus_branickii,56.3,42.3,14,19.6,24.1,rnaSPAdes
Macropereiopus_parvus,87.1,71.4,15.7,9.1,3.8,rnaSPAdes
Macropereiopus_wagneri,40.3,35.6,4.7,17.9,41.8,rnaSPAdes
Marinogammarus_marinus,90.1,75.9,14.2,6.6,3.3,rnaSPAdes
Micruropus_glaber,77.3,64.4,12.9,12.9,9.8,rnaSPAdes
Micruropus_parvulus,70.1,55.7,14.4,18.9,11,rnaSPAdes
Micruropus_wahlii,93.4,40.8,52.6,4.5,2.1,rnaSPAdes
Odontogammarus_calcaratus,77.5,66.2,11.3,14.4,8.1,rnaSPAdes
Ommatogammarus_albinus,89,71.6,17.4,7.4,3.6,rnaSPAdes
Ommatogammarus_flavus,84.6,70.3,14.3,9,6.4,rnaSPAdes
Oxyacanthus_curtus,65,59.7,5.3,21,14,rnaSPAdes
Oxyacanthus_flavus,85.3,73.7,11.6,8,6.7,rnaSPAdes
Oxyacanthus_sowinskii,71.7,63.9,7.8,17.7,10.6,rnaSPAdes
Pachyschesis_branchialis,89.1,77.5,11.6,7.2,3.7,rnaSPAdes
Palicarinus_puzyllii,84.5,71.5,13,9.7,5.8,rnaSPAdes
Pallasea_cancelloides,46.4,40.8,5.6,22.2,31.4,rnaSPAdes
Pallasea_cancellus,77.7,61.2,16.5,11.4,10.9,rnaSPAdes
Pallasea_grubei,74.2,60.7,13.5,15.9,9.9,rnaSPAdes
Pallasea_sp._gam7.3,77,63.1,13.9,11.4,11.6,rnaSPAdes
Pallaseopsis_kessleri,59.7,52.9,6.8,21.6,18.7,rnaSPAdes
Pandorites_podoceroides,62.7,52,10.7,19.9,17.4,rnaSPAdes
Parapallasea_borowskii,71.9,59.6,12.3,15.3,12.8,rnaSPAdes
Parapallasea_wosnessenskii,81.7,70.2,11.5,10.3,8,rnaSPAdes
Parhyale_hawaiensis,68.1,50.7,17.4,17.6,14.3,rnaSPAdes
Pentagonurus_dawydowi,77.6,59.6,18,11.8,10.6,rnaSPAdes
Poekilogammarus_pictoides,78.6,62.5,16.1,13.2,8.2,rnaSPAdes
Sluginella_kietlinskii,32,30.4,1.6,13.2,54.8,rnaSPAdes
Talitrus_saltator,74.8,67.1,7.7,15.5,9.7,rnaSPAdes
Acanthogammarus_godlewskii,49.9,40.9,9,20.5,29.6,Trinity
Asprogammarus_rhodophthalmus,62.4,42.9,19.5,17.2,20.4,Trinity
Baikalogammarus_pullus,56.7,42.8,13.9,16.2,27.1,Trinity
Boeckaxelia_carpenterii,59.7,44.9,14.8,16.5,23.8,Trinity
Boeckaxelia_potanini,47.2,41,6.2,17.4,35.4,Trinity
Brachyuropus_grewingkii,61.1,47.4,13.7,16.3,22.6,Trinity
Brandtia_latissima,56.2,48.9,7.3,18.8,25,Trinity
Caprella_sp,79.8,46.2,33.6,15.8,4.4,Trinity
Carinurus_bicarinatus,52.1,40.8,11.3,16.5,31.4,Trinity
Cornugammarus_maximus,53.5,44.7,8.8,19.9,26.6,Trinity
Crypturopus_inflatus,34.6,29.5,5.1,24.1,41.3,Trinity
Dorogostaiskia_parasitica,44.4,35.7,8.7,18.7,36.9,Trinity
Echinogammarus_berilloni,95.4,43.1,52.3,2.9,1.7,Trinity
Echiuropus_macronychus,55,41.7,13.3,14.3,30.7,Trinity
Eogammarus_possjeticus,92.9,45.2,47.7,5,2.1,Trinity
Eucarinogammarus_wagii,53.1,37.4,15.7,24,22.9,Trinity
Eulimnogammarus_cruentus,64.2,52.1,12.1,17.4,18.4,Trinity
Eulimnogammarus_cyaneus,89.5,77.8,11.7,5.9,4.6,Trinity
Eulimnogammarus_czerskii,65.3,49.6,15.7,15.2,19.5,Trinity
Eulimnogammarus_marituji,63.6,47.9,15.7,15.3,21.1,Trinity
Eulimnogammarus_messerschmidtii,57,41.1,15.9,14.1,28.9,Trinity
Eulimnogammarus_similis,66.1,50.2,15.9,15.4,18.5,Trinity
Eulimnogammarus_sp._gam16.4,32.8,28.7,4.1,17.2,50,Trinity
Eulimnogammarus_testaceus,67.3,48.7,18.6,13.7,19,Trinity
Eulimnogammarus_ussolzewii,58.6,45.3,13.3,17,24.4,Trinity
Eulimnogammarus_verrucosus,71,50.7,20.3,12.9,16.1,Trinity
Eulimnogammarus_violaceus,57.5,43.3,14.2,18.9,23.6,Trinity
Eulimnogammarus_viridulus,66.7,50.6,16.1,15.7,17.6,Trinity
Eulimnogammarus_vittatus,57,45,12,15.8,27.2,Trinity
Gammarus_chevreuxi,87.1,59.9,27.2,2.8,10.1,Trinity
Gammarus_fossarum,93.3,43.2,50.1,4.9,1.8,Trinity
Gammarus_lacustris,90,66.3,23.7,6.4,3.6,Trinity
Gammarus_minus,96.2,50.9,45.3,1.5,2.3,Trinity
Gammarus_pisinnus,76.9,39.2,37.7,15.9,7.2,Trinity
Gammarus_pulex,92.7,42,50.7,4.7,2.6,Trinity
Gammarus_wautieri,91.4,47.8,43.6,5.4,3.2,Trinity
Garjajewia_dershawini,51.9,44.8,7.1,18.1,30,Trinity
Gmelinoides_fasciatus,67,48.6,18.4,15,18,Trinity
Heterogammarus_sophianosii,73.4,57.1,16.3,11.1,15.5,Trinity
Hirondellea_gigas,91.2,89.3,1.9,4,4.8,Trinity
Homalogammarus_brandtii,46.6,39.3,7.3,15.3,38.1,Trinity
