,Species,MWS,LWS
1,Acanthogammarus_godlewskii,0,2
2,Asprogammarus_rhodophthalmus,0,1
3,Boeckaxelia_carpenterii,0,2
4,Brandtia_latissima,0,2
5,Caprella_sp,0,1
6,Carinurus_bicarinatus,0,1
7,Dorogostaiskia_parasitica,0,2
8,Echinogammarus_berilloni,1,2
9,Echiuropus_macronychus,0,3
10,Eulimnogammarus_cyaneus,0,2
11,Gammarus_chevreuxi,1,2
12,Gammarus_fossarum,1,3
13,Gammarus_lacustris,0,2
14,Gammarus_minus,0,2
15,Gammarus_pisinnus,0,2
16,Gammarus_pulex,1,3
17,Gammarus_wautieri,1,3
18,Gmelinoides_fasciatus,0,2
19,Heterogammarus_sophianosii,0,2
20,Hirondellea_gigas,0,1
21,Homalogammarus_brandtii,0,2
22,Hyalellopsis_costata,0,2
23,Linevichella_vortex,0,3
24,Macropereiopus_parvus,0,1
25,Marinogammarus_marinus,1,2
26,Micruropus_wahlii,0,3
27,Odontogammarus_calcaratus,0,2
28,Ommatogammarus_albinus,0,1
29,Oxyacanthus_curtus,0,2
30,Pachyschesis_branchialis,0,1
31,Palicarinus_puzyllii,0,2
32,Pallasea_cancelloides,0,3
33,Parapallasea_wosnessenskii,0,1
34,Parhyale_hawaiensis,1,1
35,Poekilogammarus_pictoides,0,2
36,Talitrus_saltator,1,2
