Species,Complete_BUSCOs_new,Complete_BUSCOs_old
Acanthogammarus_godlewskii,41,49.9
Asprogammarus_rhodophthalmus,62,62.4
Baikalogammarus_pullus,66.8,56.7
Boeckaxelia_carpenterii,68.6,59.7
Boeckaxelia_potanini,57.2,47.2
Brachyuropus_grewingkii,73,61.1
Brandtia_latissima,50.9,56.2
Carinurus_bicarinatus,61.1,52.1
Cornugammarus_maximus,60.3,53.5
Crypturopus_inflatus,40.1,34.6
Dorogostaiskia_parasitica,53.2,44.4
Echiuropus_macronychus,64.6,55
Eucarinogammarus_wagii,65.4,53.1
Eulimnogammarus_cruentus,75.1,72.5
Eulimnogammarus_cruentus_2,83.4,64.2
Eulimnogammarus_cyaneus,73,64
Eulimnogammarus_czerskii,76,65.3
Eulimnogammarus_marituji,70.6,63.6
Eulimnogammarus_messerschmidtii,65.2,57
Eulimnogammarus_similis,78.9,66.1
Eulimnogammarus_sp._gam16.4,38.8,32.8
Eulimnogammarus_sp._gam2quest,81.1,68.1
Eulimnogammarus_testaceus,77.3,67.3
Eulimnogammarus_ussolzewii,69.8,58.6
Eulimnogammarus_verrucosus,83.5,71
Eulimnogammarus_violaceus,68.4,57.5
Eulimnogammarus_viridulus,77.6,66.7
Eulimnogammarus_vittatus,67.2,57
Gammarus_lacustris,52.2,68
Garjajewia_dershawini,61.3,51.9
Gmelinoides_fasciatus,78.1,67
Heterogammarus_sophianosii,83,73.4
Homalogammarus_brandtii,53.1,46.6
Hyalellopsis_carinata,73.7,65
Hyalellopsis_costata,66,59.2
Hyalellopsis_grisea,71.6,64.4
Hyalellopsis_setosa,64.4,70.2
Hyalellopsis_stebbingi,70.3,59.8
Linevichella_vortex,83.7,72.7
Macrohectopus_branickii,53.8,45.3
Macropereiopus_parvus,85.2,72.3
Macropereiopus_wagneri,37.6,31.6
Micruropus_glaber,74.3,64.3
Micruropus_parvulus,60.2,49.7
Micruropus_wahlii,93,87.6
Odontogammarus_calcaratus,75.3,62.5
Ommatogammarus_albinus,87.3,77.9
Ommatogammarus_flavus,81.8,72
Oxyacanthus_curtus,62.1,54.3
Oxyacanthus_flavus,83.4,72.7
Oxyacanthus_sowinskii,69.1,59.2
Pachyschesis_branchialis,87.4,74
Pachyschesis_branchialis_2,38,37.2
Palicarinus_puzyllii,83.3,70.9
Pallasea_cancelloides,47.9,55.3
Pallasea_cancelloides_2,64.8,34.9
Pallasea_cancellus,74.2,64.6
Pallasea_grubei,72.3,60.1
Pallasea_sp._gam7.3,75,67.8
Pallaseopsis_kessleri,57.6,50.7
Pandorites_podoceroides,58.8,51
Parapallasea_borowskii,69.3,58.8
Parapallasea_wosnessenskii,79.2,68.6
Pentagonurus_dawydowi,75.3,64.7
Poekilogammarus_pictoides,75.7,65.8
Sluginella_kietlinskii,28.9,24.7
