Species,Opsins_number_old,Opsins_number_new
Acanthogammarus_godlewskii,2,2
Asprogammarus_rhodophthalmus,5,3
Boeckaxelia_carpenterii,3,4
Boeckaxelia_potanini,2,3
Brachyuropus_grewingkii,1,3
Brandtia_latissima,2,2
Carinurus_bicarinatus,3,4
Dorogostaiskia_parasitica,2,1
Echiuropus_macronychus,2,6
Eucarinogammarus_wagii,1,1
Eulimnogammarus_cruentus,9,4
Eulimnogammarus_cruentus_2,3,10
Eulimnogammarus_cyaneus,4,4
Eulimnogammarus_czerskii,7,9
Eulimnogammarus_marituji,3,5
Eulimnogammarus_messerschmidtii,6,6
Eulimnogammarus_similis,5,5
Eulimnogammarus_sp._gam16.4,3,2
Eulimnogammarus_sp._gam2quest,0,1
Eulimnogammarus_testaceus,2,3
Eulimnogammarus_ussolzewii,2,2
Eulimnogammarus_verrucosus,3,6
Eulimnogammarus_violaceus,2,2
Eulimnogammarus_viridulus,5,5
Eulimnogammarus_vittatus,3,5
Gammarus_lacustris,5,2
Garjajewia_dershawini,2,2
Gmelinoides_fasciatus,2,10
Heterogammarus_sophianosii,7,8
Homalogammarus_brandtii,2,3
Hyalellopsis_carinata,3,14
Hyalellopsis_costata,2,3
Hyalellopsis_grisea,1,1
Hyalellopsis_setosa,2,4
Hyalellopsis_stebbingi,3,7
Linevichella_vortex,3,4
Macropereiopus_parvus,5,6
Macropereiopus_wagneri,1,1
Micruropus_glaber,2,4
Micruropus_parvulus,1,3
Micruropus_wahlii,4,11
Odontogammarus_calcaratus,4,4
Ommatogammarus_albinus,4,7
Ommatogammarus_flavus,8,10
Oxyacanthus_curtus,3,2
Oxyacanthus_flavus,6,4
Oxyacanthus_sowinskii,2,2
Pachyschesis_branchialis,6,9
Pachyschesis_branchialis_2,1,1
Palicarinus_puzyllii,3,3
Pallasea_cancelloides,2,4
Pallasea_cancelloides_2,2,5
Pallasea_cancellus,4,5
Pallasea_grubei,3,9
Pallasea_sp._gam7.3,4,6
Parapallasea_borowskii,2,3
Parapallasea_wosnessenskii,1,2
Pentagonurus_dawydowi,2,2
Poekilogammarus_pictoides,3,4
Sluginella_kietlinskii,1,2
