Species,Mean_length_new,Mean_length_old
Acanthogammarus_godlewskii,386,289
Asprogammarus_rhodophthalmus,414,385
Boeckaxelia_carpenterii,232,217
Boeckaxelia_potanini,304,344
Brachyuropus_grewingkii,387,178
Brandtia_latissima,388,328
Carinurus_bicarinatus,560,536
Dorogostaiskia_parasitica,387,322
Echiuropus_macronychus,379,390
Eucarinogammarus_wagii,210,171
Eulimnogammarus_cruentus,297,544
Eulimnogammarus_cruentus_2,588,348
Eulimnogammarus_cyaneus,338,374
Eulimnogammarus_czerskii,381,328
Eulimnogammarus_marituji,371,365
Eulimnogammarus_messerschmidtii,306,352
Eulimnogammarus_similis,455,407
Eulimnogammarus_sp._gam16.4,388,318
Eulimnogammarus_testaceus,296,251
Eulimnogammarus_ussolzewii,290,290
Eulimnogammarus_verrucosus,359,345
Eulimnogammarus_violaceus,598,564
Eulimnogammarus_viridulus,599,484
Eulimnogammarus_vittatus,381,333
Gammarus_lacustris,393,333
Garjajewia_dershawini,374,339
Gmelinoides_fasciatus,325,309
Heterogammarus_sophianosii,420,429
Homalogammarus_brandtii,389,388
Hyalellopsis_carinata,329,358
Hyalellopsis_costata,412,287
Hyalellopsis_grisea,461,245
Hyalellopsis_setosa,253,297
Hyalellopsis_stebbingi,364,318
Linevichella_vortex,337,398
Macropereiopus_parvus,358,366
Macropereiopus_wagneri,385,385
Micruropus_glaber,331,393
Micruropus_parvulus,311,412
Micruropus_wahlii,245,182
Odontogammarus_calcaratus,391,285
Ommatogammarus_albinus,343,294
Ommatogammarus_flavus,344,288
Oxyacanthus_curtus,388,334
Oxyacanthus_flavus,430,486
Oxyacanthus_sowinskii,388,286
Pachyschesis_branchialis,347,338
Pachyschesis_branchialis_2,390,390
Palicarinus_puzyllii,350,270
Pallasea_cancelloides,385,394
Pallasea_cancelloides_2,346,384
Pallasea_cancellus,567,567
Pallasea_grubei,420,396
Pallasea_sp._gam7.3,232,286
Parapallasea_borowskii,428,345
Parapallasea_wosnessenskii,427,390
Pentagonurus_dawydowi,1124,604
Poekilogammarus_pictoides,373,303
Sluginella_kietlinskii,289,79
