Species, E10, E20, Complete BUSCOs,Complete and single-copy BUSCOs,Complete and duplicated BUSCOs,Fragmented BUSCOs,Missing BUSCOs,Family
Dorogostaiskia_parasitica, 2,2, 44.4,35.7,8.7,18.7,36.9,Acanthogammaridae  
Boeckaxelia_potanini, 2,2, 47.2,41,6.2,17.4,35.4,Acanthogammaridae  
Carinurus_bicarinatus, 3,3, 52.1,40.8,11.3,16.5,31.4,Acanthogammaridae  
Echiuropus_macronychus, 2,2, 55,41.7,13.3,14.3,30.7,Acanthogammaridae  
Garjajewia_dershawini, 2,0, 51.9,44.8,7.1,18.1,30,Acanthogammaridae  
Acanthogammarus_godlewskii, 2,2, 49.9,40.9,9,20.5,29.6,Acanthogammaridae
Cornugammarus_maximus, 0,0, 53.5,44.7,8.8,19.9,26.6,Acanthogammaridae  
Brandtia_latissima, 2,2, 56.2,48.9,7.3,18.8,25,Acanthogammaridae
Oxyacanthus_curtus, 3,2, 54.3,45.7,8.6,21.2,24.5,Acanthogammaridae
Boeckaxelia_carpenterii, 3,2, 59.7,44.9,14.8,16.5,23.8,Acanthogammaridae
Parapallasea_borowskii, 2,1, 58.8,42,16.8,17.6,23.6,Acanthogammaridae
Eucarinogammarus_wagii, 1,1, 53.1,37.4,15.7,24,22.9,Acanthogammaridae 
Brachyuropus_grewingkii, 1,0, 61.1,47.4,13.7,16.3,22.6,Acanthogammaridae
Oxyacanthus_sowinskii, 2,2, 59.2,49.4,9.8,18.6,22.2,Acanthogammaridae
Hyalellopsis_stebbingi, 3,3, 59.8,41.3,18.5,18.1,22.1,Acanthogammaridae
Asprogammarus_rhodophthalmus, 5,4, 62.4,42.9,19.5,17.2,20.4,Acanthogammaridae
Hyalellopsis_costata, 2,2, 59.2,42.3,16.9,20.7,20.1,Acanthogammaridae
Hyalellopsis_grisea, 1,0, 64.4,49.2,15.2,16.3,19.3,Acanthogammaridae
Hyalellopsis_carinata, 3,3, 65,50.4,14.6,16.4,18.6,Acanthogammaridae
Poekilogammarus_pictoides, 3,2, 65.8,50.5,15.3,16.4,17.8,Acanthogammaridae
Palicarinus_puzyllii, 3,2, 70.9,54.4,16.5,12.3,16.8,Acanthogammaridae
Parapallasea_wosnessenskii, 1,1, 68.6,53.5,15.1,14.9,16.5,Acanthogammaridae
Oxyacanthus_flavus, 6,1, 72.7,56.3,16.4,11.3,16,Acanthogammaridae
Hyalellopsis_setosa, 2,2, 70.2,52.6,17.6,15.2,14.6,Acanthogammaridae
Baikalogammarus_pullus, 0,0, 56.7,42.8,13.9,16.2,27.1,Baikalogammaridae
Sluginella_kietlinskii, 1,0, 24.7,22.1,2.6,12.7,62.6,Eulimnogammaridae
Macropereiopus_wagneri, 1,0, 31.6,26.8,4.8,18,50.4,Eulimnogammaridae
Eulimnogammarus_sp, 3,3, 32.8,28.7,4.1,17.2,50,Eulimnogammaridae  
Eulimnogammarus_messerschmidtii, 6,2, 57,41.1,15.9,14.1,28.9,Eulimnogammaridae  
