Opsin,Length
Acanthogammarus_godlewskii_GEPE01026638.1,215
Acanthogammarus_godlewskii_GEPE01017224.1,364
Asprogammarus_rhodophthalmus_GEPK01040703.1,446
Asprogammarus_rhodophthalmus_GEPK01007144.1,398
Asprogammarus_rhodophthalmus_GEPK01008697.1,234
Asprogammarus_rhodophthalmus_GEPK01040704.1,446
Asprogammarus_rhodophthalmus_GEPK01007145.1,402
Boeckaxelia_carpenterii_GEPG01016640.1,125
Boeckaxelia_carpenterii_GEPG01029418.1,234
Boeckaxelia_carpenterii_GEPG01021149.1,294
Boeckaxelia_potanini_GEPH01027161.1,298
Boeckaxelia_potanini_GEPH01046940.1,390
Brachyuropus_grewingkii_GEPD01002582.1,178
Brandtia_latissima_GEPJ01025542.1,267
Brandtia_latissima_GEPJ01020950.1,390
Carinurus_bicarinatus_GEPL01007602.1,390
Carinurus_bicarinatus_GEPL01037576.1,602
Carinurus_bicarinatus_GEPL01037577.1,618
Dorogostaiskia_parasitica_GERM01024870.1,254
Dorogostaiskia_parasitica_GERM01023897.1,390
Echiuropus_macronychus_GEPN01029031.1,390
Echiuropus_macronychus_GEPN01029032.1,390
Eucarinogammarus_wagii_GEPO01051330.1,171
Eulimnogammarus_cruentus2_GEPW01050416.1,246
Eulimnogammarus_cruentus2_GEPW01037119.1,390
Eulimnogammarus_cruentus2_GEPW01037118.1,410
Eulimnogammarus_cruentus_GEPX01043265.1,390
Eulimnogammarus_cruentus_GEPX01043266.1,395
Eulimnogammarus_cruentus_GEPX01032889.1,331
Eulimnogammarus_cruentus_GEPX01025741.1,387
Eulimnogammarus_cruentus_GEPX01036153.1,494
Eulimnogammarus_cruentus_GEPX01032486.1,762
Eulimnogammarus_cruentus_GEPX01032487.1,849
Eulimnogammarus_cruentus_GEPX01041238.1,539
Eulimnogammarus_cruentus_GEPX01041237.1,751
Eulimnogammarus_cyaneus_GEPS01012275.1,390
Eulimnogammarus_cyaneus_GEPS01030249.1,215
Eulimnogammarus_cyaneus_GEPS01045761.1,446
Eulimnogammarus_cyaneus_GEPS01045762.1,446
Eulimnogammarus_czerskii_GEPY01084085.1,253
Eulimnogammarus_czerskii_GEPY01049948.1,249
Eulimnogammarus_czerskii_GEPY01049195.1,241
Eulimnogammarus_czerskii_GEPY01025850.1,304
Eulimnogammarus_czerskii_GEPY01018411.1,494
Eulimnogammarus_czerskii_GEPY01088212.1,390
Eulimnogammarus_czerskii_GEPY01043094.1,366
Eulimnogammarus_marituji_GEPT01048928.1,319
Eulimnogammarus_marituji_GEPT01046874.1,387
Eulimnogammarus_marituji_GEPT01046873.1,390
Eulimnogammarus_messerschmidtii_GEPZ01043704.1,505
Eulimnogammarus_messerschmidtii_GEPZ01016568.1,201
Eulimnogammarus_messerschmidtii_GEPZ01027187.1,128
Eulimnogammarus_messerschmidtii_GEPZ01032022.1,387
Eulimnogammarus_messerschmidtii_GEPZ01043703.1,505
Eulimnogammarus_messerschmidtii_GEPZ01032021.1,390
Eulimnogammarus_similis_GEPQ01077837.1,206
Eulimnogammarus_similis_GEPQ01000745.1,71
Eulimnogammarus_similis_GEPQ01064983.1,545
Eulimnogammarus_similis_GEPQ01040522.1,659
Eulimnogammarus_similis_GEPQ01006696.1,556
Eulimnogammarus_sp_GEQB01019054.1,184
Eulimnogammarus_sp_GEQB01030161.1,385
Eulimnogammarus_sp_GEQB01030160.1,387
Eulimnogammarus_testaceus_GERC01066817.1,113
Eulimnogammarus_testaceus_GERC01036626.1,390
Eulimnogammarus_ussolzewii_GESQ01013673.1,191
Eulimnogammarus_ussolzewii_GESQ01052022.1,390
Eulimnogammarus_verrucosus_GEQC01054135.1,260
Eulimnogammarus_verrucosus_GEQC01061230.1,387
Eulimnogammarus_verrucosus_GEQC01061231.1,390
Eulimnogammarus_violaceus_GESR01014239.1,378
Eulimnogammarus_violaceus_GESR01014774.1,750
Eulimnogammarus_viridulus_GEPU01039925.1,387
Eulimnogammarus_viridulus_GEPU01000505.1,152
Eulimnogammarus_viridulus_GEPU01039926.1,390
Eulimnogammarus_viridulus_GEPU01043621.1,750
Eulimnogammarus_viridulus_GEPU01043620.1,741
Eulimnogammarus_vittatus_GEPV01046021.1,254
Eulimnogammarus_vittatus_GEPV01029372.1,355
Eulimnogammarus_vittatus_GEPV01034103.1,390
Gammarus_lacustris_GERD01009254.1,270
Gammarus_lacustris_GERD01015916.1,115
Gammarus_lacustris_GERD01030011.,387
Gammarus_lacustris_GERD01012396.,495
